Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date
2023-09-26,156.56790161132812,31.495033264160156,0.0,0.0,157.61155391294548,32.039389464935994,156.41036521997154,31.456149618919454,157.34571313046837,31.806095009788777,0.0,0.0,4904800,26015500
2023-09-27,154.68734741210938,31.203411102294922,0.0,0.0,156.3118982242906,31.59224015671395,152.8658686027573,31.008998429159746,156.1346810550331,31.524195628412922,0.0,0.0,10211600,26430100
2023-09-28,154.46090698242188,31.193689346313477,0.0,0.0,155.52425512861802,31.417264735412868,153.8110806113857,30.8826276129449,155.07134174239647,31.164528467606534,0.0,0.0,7861900,28197600
2023-09-29,153.34832763671875,32.24352264404297,0.0,0.0,155.16980655865675,32.30184811118737,152.9545016650284,31.397823765265745,154.94334235261186,31.44642646714518,0.0,0.0,7679900,42397800
2023-10-02,152.757568359375,32.99201583862305,0.0,0.0,153.02340914397274,33.011457660839255,150.9558003290384,31.844974284905863,153.02340914397274,32.02966974188561,0.0,0.0,7259700,44620600
2023-10-03,152.94464111328125,32.9531364440918,0.0,0.0,153.10217750606512,33.157270018495296,151.51700323448364,32.76844098407564,152.29481476067082,32.8948109764843,0.0,0.0,5740800,31059900
2023-10-04,153.1218719482422,32.379615783691406,0.0,0.0,153.52553829384937,33.128109267562756,152.1865240375958,32.087992152668626,153.17110394848612,32.99201650928283,0.0,0.0,4955200,23722300
2023-10-05,154.71688842773438,32.53514862060547,0.0,0.0,155.60300434862566,32.836487618903256,153.66339572283016,32.126877737415064,153.86030870263963,32.51570679682033,0.0,0.0,5993300,21279400
2023-10-06,155.20916748046875,32.20464324951172,0.0,0.0,155.858993789316,32.62263316737788,154.17535562975655,32.14631778138556,154.6578051663546,32.583749521960435,0.0,0.0,5801100,23750600
2023-10-09,156.0952911376953,32.27268981933594,0.0,0.0,156.43005972241525,32.53514888030718,154.66765328371773,31.854699874990853,154.75626186930668,32.13660075990242,0.0,0.0,4414100,17468100
2023-10-10,155.91807556152344,32.24352264404297,0.0,0.0,156.81404688763593,32.4671017473556,155.46516219138505,32.087991773139706,155.9377713663548,32.156040005549066,0.0,0.0,5273500,19212100
2023-10-11,153.7716827392578,32.185203552246094,0.0,0.0,156.59743728970915,32.399059908016106,153.63384215315023,31.903302666576305,156.01653874993409,32.31157355412372,0.0,0.0,6922900,24221200
2023-10-12,153.91937255859375,32.00050735473633,0.0,0.0,154.145821721642,32.292130999882076,152.67880733344234,31.854699240312137,153.51569120709732,32.18520282441513,0.0,0.0,5792400,21809900
2023-10-13,154.43138122558594,31.213132858276367,0.0,0.0,154.93351162433237,32.06855452543295,153.64371420958273,31.125646509270027,154.31322140791127,32.01994811409166,0.0,0.0,5359800,32388100
2023-10-16,155.1008758544922,32.34073257446289,0.0,0.0,155.80977460909585,32.972575131183774,154.4215132960389,31.650564549121448,155.38641244860904,31.91302359569113,0.0,0.0,6408100,63317400
2023-10-17,153.68307495117188,31.835256576538086,0.0,0.0,156.49897410213086,32.26296555896877,152.22590088711183,31.300619421462585,153.57477055984663,32.078273802313184,0.0,0.0,12244400,40015800
2023-10-18,150.37489318847656,30.532684326171875,0.0,0.0,153.54524186375443,31.767212287310556,149.7053860264914,30.513242502986785,153.0135752953249,31.631123233163535,0.0,0.0,9097300,30307600
2023-10-19,149.97122192382812,30.318830490112305,0.0,0.0,150.74903345702202,30.620171339711504,147.83467025825652,30.046650521848104,149.33123595619003,30.503522252148464,0.0,0.0,7733800,26880300
2023-10-20,150.64073181152344,29.79391098022461,0.0,0.0,151.49731155744226,30.24106363183028,149.9810650502012,29.6286591954686,150.38474643389767,30.19245907509365,0.0,0.0,7206600,39378900
2023-10-23,149.05555725097656,29.97860336303711,0.0,0.0,151.13302153556495,30.513240486780038,148.87834007218117,29.677262539876956,150.50289097179632,29.910558840459736,0.0,0.0,5874000,29412100
2023-10-24,148.8980255126953,29.58005714416504,0.0,0.0,149.61677971184682,30.163298859327842,147.81499655356666,29.47312897106414,148.4254313309573,30.017487039981415,0.0,0.0,6155300,26923800
2023-10-25,149.2327880859375,29.871675491333008,0.0,0.0,149.82352703334055,30.134134527355524,147.91343955405915,29.375920152426318,148.90787490429193,29.609216455310488,0.0,0.0,5880800,28857900
2023-10-26,146.70240783691406,30.2896671295166,0.0,0.0,149.62661139634844,30.49380256501993,146.58426305422896,29.648101796347806,149.62661139634844,29.755029969900708,0.0,0.0,7612500,27162700
2023-10-27,143.35484313964844,29.268993377685547,0.0,0.0,146.36765530744492,30.26050218579507,142.71485717407566,29.1815070337238,146.20027852295595,30.19245766361908,0.0,0.0,11385800,33877100
